YBP,KDE
24748.5,0
24747.5,0.0000026881
24746.5,0.0000026881
24745.5,0.0000026881
24744.5,0.0000026881
24743.5,0.0000026881
24742.5,0.0000026881
24741.5,0.0000026881
24740.5,0.0000026881
24739.5,0.0000026881
24738.5,0.000005376
24737.5,0.0000026881
24736.5,0.000005376
24735.5,0.000005376
24734.5,0.000005376
24733.5,0.000005376
24732.5,0.000005376
24731.5,0.000005376
24730.5,0.000008064
24729.5,0.000008064
24728.5,0.000008064
24727.5,0.000008064
24726.5,0.000008064
24725.5,0.000008064
24724.5,0.000008064
24723.5,0.000010752
24722.5,0.000010752
24721.5,0.000010752
24720.5,0.000010752
24719.5,0.000013441
24718.5,0.000016129
24717.5,0.000013441
24716.5,0.000016129
24715.5,0.000016129
24714.5,0.000018817
24713.5,0.000018817
24712.5,0.000021505
24711.5,0.000021505
24710.5,0.000024193
24709.5,0.000026881
24708.5,0.000026881
24707.5,0.000029569
24706.5,0.000029569
24705.5,0.00003226
24704.5,0.00003226
24703.5,0.00003763
24702.5,0.00004032
24701.5,0.00004301
24700.5,0.00004032
24699.5,0.0000457
24698.5,0.0000457
24697.5,0.0000457
24696.5,0.00005376
24695.5,0.00005914
24694.5,0.00005645
24693.5,0.00006451
24692.5,0.0000672
24691.5,0.00007258
24690.5,0.00007796
24689.5,0.00008333
24688.5,0.00008871
24687.5,0.00008602
24686.5,0.00010215
24685.5,0.00010215
24684.5,0.00010752
24683.5,0.00011828
24682.5,0.00012097
24681.5,0.00012365
24680.5,0.00013709
24679.5,0.00014516
24678.5,0.00014785
24677.5,0.0001586
24676.5,0.00016666
24675.5,0.00017473
24674.5,0.00018817
24673.5,0.00019623
24672.5,0.00020161
24671.5,0.00021236
24670.5,0.00023387
24669.5,0.00024731
24668.5,0.00025806
24667.5,0.00026612
24666.5,0.00027688
24665.5,0.000293
24664.5,0.00030376
24663.5,0.0003199
24662.5,0.0003414
24661.5,0.0003602
24660.5,0.0003736
24659.5,0.0003871
24658.5,0.0004113
24657.5,0.0004382
24656.5,0.000457
24655.5,0.0004758
24654.5,0.0004973
24653.5,0.0005242
24652.5,0.000543
24651.5,0.0005753
24650.5,0.0006021
24649.5,0.0006263
24648.5,0.0006667
24647.5,0.0006908
24646.5,0.0007258
24645.5,0.00075
24644.5,0.0007876
24643.5,0.0008172
24642.5,0.0008521
24641.5,0.0009005
24640.5,0.0009328
24639.5,0.0009785
24638.5,0.0010269
24637.5,0.0010699
24636.5,0.0010994
24635.5,0.0011586
24634.5,0.001215
24633.5,0.0012742
24632.5,0.0013226
24631.5,0.0013736
24630.5,0.0014247
24629.5,0.001508
24628.5,0.0015645
24627.5,0.0016048
24626.5,0.0016854
24625.5,0.0017365
24624.5,0.0018037
24623.5,0.0018709
24622.5,0.0019408
24621.5,0.0020268
24620.5,0.002094
24619.5,0.0021908
24618.5,0.0022903
24617.5,0.002336
24616.5,0.0024059
24615.5,0.0025268
24614.5,0.0026344
24613.5,0.0027257
24612.5,0.0028602
24611.5,0.0029569
24610.5,0.0030591
24609.5,0.003188
24608.5,0.003293
24607.5,0.00343
24606.5,0.003532
24605.5,0.003715
24604.5,0.003852
24603.5,0.003995
24602.5,0.004129
24601.5,0.004261
24600.5,0.004435
24599.5,0.004621
24598.5,0.004747
24597.5,0.004981
24596.5,0.005137
24595.5,0.005296
24594.5,0.005546
24593.5,0.005739
24592.5,0.005922
24591.5,0.006153
24590.5,0.00636
24589.5,0.006591
24588.5,0.006844
24587.5,0.007091
24586.5,0.007314
24585.5,0.007597
24584.5,0.007844
24583.5,0.008137
24582.5,0.008379
24581.5,0.008696
24580.5,0.009002
24579.5,0.009322
24578.5,0.00961
24577.5,0.009949
24576.5,0.010234
24575.5,0.010607
24574.5,0.010981
24573.5,0.011373
24572.5,0.011717
24571.5,0.012134
24570.5,0.012465
24569.5,0.012876
24568.5,0.013301
24567.5,0.013777
24566.5,0.014204
24565.5,0.014677
24564.5,0.015139
24563.5,0.015653
24562.5,0.016134
24561.5,0.016642
24560.5,0.017228
24559.5,0.017682
24558.5,0.018276
24557.5,0.018844
24556.5,0.019459
24555.5,0.020088
24554.5,0.020696
24553.5,0.021373
24552.5,0.022043
24551.5,0.02272
24550.5,0.023446
24549.5,0.02415
24548.5,0.02483
24547.5,0.025618
24546.5,0.026408
24545.5,0.027209
24544.5,0.027981
24543.5,0.028835
24542.5,0.029782
24541.5,0.030553
24540.5,0.031475
24539.5,0.03235
24538.5,0.03338
24537.5,0.03434
24536.5,0.03532
24535.5,0.03631
24534.5,0.03737
24533.5,0.03835
24532.5,0.03952
24531.5,0.04058
24530.5,0.04167
24529.5,0.0428
24528.5,0.04406
24527.5,0.04518
24526.5,0.04632
24525.5,0.0476
24524.5,0.04874
24523.5,0.05006
24522.5,0.05148
24521.5,0.05267
24520.5,0.05407
24519.5,0.05551
24518.5,0.05679
24517.5,0.0582
24516.5,0.05981
24515.5,0.06114
24514.5,0.06269
24513.5,0.06438
24512.5,0.06599
24511.5,0.06756
24510.5,0.06925
24509.5,0.07096
24508.5,0.07261
24507.5,0.07443
24506.5,0.07619
24505.5,0.07789
24504.5,0.07984
24503.5,0.0816
24502.5,0.08338
24501.5,0.08536
24500.5,0.08722
24499.5,0.08917
24498.5,0.09106
24497.5,0.09314
24496.5,0.09512
24495.5,0.09711
24494.5,0.09919
24493.5,0.10123
24492.5,0.10332
24491.5,0.10543
24490.5,0.10757
24489.5,0.10978
24488.5,0.11194
24487.5,0.11422
24486.5,0.11633
24485.5,0.11867
24484.5,0.12104
24483.5,0.12341
24482.5,0.12564
24481.5,0.12812
24480.5,0.13044
24479.5,0.1328
24478.5,0.13541
24477.5,0.13764
24476.5,0.14015
24475.5,0.1427
24474.5,0.14526
24473.5,0.14774
24472.5,0.15013
24471.5,0.1527
24470.5,0.15522
24469.5,0.15783
24468.5,0.1603
24467.5,0.16291
24466.5,0.16561
24465.5,0.16818
24464.5,0.17103
24463.5,0.17372
24462.5,0.17642
24461.5,0.17905
24460.5,0.18163
24459.5,0.18422
24458.5,0.18675
24457.5,0.18944
24456.5,0.19189
24455.5,0.19436
24454.5,0.19674
24453.5,0.19935
24452.5,0.20195
24451.5,0.20405
24450.5,0.20674
24449.5,0.20899
24448.5,0.21131
24447.5,0.21357
24446.5,0.21623
24445.5,0.21844
24444.5,0.22073
24443.5,0.22307
24442.5,0.22539
24441.5,0.22736
24440.5,0.2298
24439.5,0.23184
24438.5,0.23415
24437.5,0.23615
24436.5,0.23845
24435.5,0.24066
24434.5,0.24265
24433.5,0.24491
24432.5,0.24706
24431.5,0.24896
24430.5,0.25122
24429.5,0.25319
24428.5,0.25542
24427.5,0.25733
24426.5,0.25918
24425.5,0.26091
24424.5,0.26301
24423.5,0.26494
24422.5,0.2665
24421.5,0.26834
24420.5,0.27026
24419.5,0.27202
24418.5,0.27382
24417.5,0.27527
24416.5,0.27724
24415.5,0.27891
24414.5,0.28071
24413.5,0.28203
24412.5,0.28378
24411.5,0.28516
24410.5,0.28661
24409.5,0.28793
24408.5,0.28933
24407.5,0.29034
24406.5,0.29156
24405.5,0.29296
24404.5,0.2941
24403.5,0.29539
24402.5,0.29625
24401.5,0.2974
24400.5,0.29867
24399.5,0.29945
24398.5,0.30056
24397.5,0.30177
24396.5,0.30233
24395.5,0.30322
24394.5,0.30382
24393.5,0.30459
24392.5,0.30545
24391.5,0.30589
24390.5,0.30636
24389.5,0.30705
24388.5,0.30741
24387.5,0.3081
24386.5,0.30853
24385.5,0.3088
24384.5,0.30944
24383.5,0.30962
24382.5,0.30983
24381.5,0.31018
24380.5,0.31023
24379.5,0.31062
24378.5,0.31101
24377.5,0.31108
24376.5,0.31128
24375.5,0.31128
24374.5,0.31139
24373.5,0.31138
24372.5,0.31149
24371.5,0.31141
24370.5,0.31111
24369.5,0.31085
24368.5,0.31084
24367.5,0.31055
24366.5,0.31055
24365.5,0.31024
24364.5,0.31031
24363.5,0.30976
24362.5,0.30956
24361.5,0.30918
24360.5,0.3086
24359.5,0.30815
24358.5,0.30731
24357.5,0.30673
24356.5,0.306
24355.5,0.30526
24354.5,0.30459
24353.5,0.30353
24352.5,0.3025
24351.5,0.30156
24350.5,0.30077
24349.5,0.29979
24348.5,0.29873
24347.5,0.2977
24346.5,0.29668
24345.5,0.29532
24344.5,0.29417
24343.5,0.29295
24342.5,0.29164
24341.5,0.29027
24340.5,0.28895
24339.5,0.28772
24338.5,0.28659
24337.5,0.28496
24336.5,0.28378
24335.5,0.28232
24334.5,0.28107
24333.5,0.27978
24332.5,0.27832
24331.5,0.2773
24330.5,0.27566
24329.5,0.27423
24328.5,0.27295
24327.5,0.27148
24326.5,0.27002
24325.5,0.26868
24324.5,0.26761
24323.5,0.26591
24322.5,0.26468
24321.5,0.26314
24320.5,0.26176
24319.5,0.26024
24318.5,0.25896
24317.5,0.25757
24316.5,0.2562
24315.5,0.25466
24314.5,0.25361
24313.5,0.25215
24312.5,0.25078
24311.5,0.24956
24310.5,0.24823
24309.5,0.24722
24308.5,0.24583
24307.5,0.24457
24306.5,0.2435
24305.5,0.24244
24304.5,0.24114
24303.5,0.23993
24302.5,0.23886
24301.5,0.23792
24300.5,0.23695
24299.5,0.23591
24298.5,0.23501
24297.5,0.234
24296.5,0.23316
24295.5,0.2321
24294.5,0.23137
24293.5,0.23023
24292.5,0.22948
24291.5,0.22843
24290.5,0.22754
24289.5,0.22663
24288.5,0.22588
24287.5,0.22515
24286.5,0.22426
24285.5,0.22334
24284.5,0.22251
24283.5,0.22175
24282.5,0.22079
24281.5,0.22012
24280.5,0.21952
24279.5,0.21886
24278.5,0.21796
24277.5,0.2175
24276.5,0.21674
24275.5,0.21609
24274.5,0.21573
24273.5,0.21498
24272.5,0.21478
24271.5,0.2139
24270.5,0.21343
24269.5,0.21324
24268.5,0.21276
24267.5,0.21264
24266.5,0.21214
24265.5,0.21182
24264.5,0.21168
24263.5,0.2114
24262.5,0.21113
24261.5,0.21094
24260.5,0.21081
24259.5,0.21062
24258.5,0.21048
24257.5,0.21054
24256.5,0.21055
24255.5,0.21069
24254.5,0.2107
24253.5,0.21113
24252.5,0.211
24251.5,0.21108
24250.5,0.21137
24249.5,0.21193
24248.5,0.21209
24247.5,0.21251
24246.5,0.21295
24245.5,0.21342
24244.5,0.21376
24243.5,0.21446
24242.5,0.21491
24241.5,0.21541
24240.5,0.21595
24239.5,0.21669
24238.5,0.21742
24237.5,0.21798
24236.5,0.21884
24235.5,0.21951
24234.5,0.22046
24233.5,0.22147
24232.5,0.22248
24231.5,0.22337
24230.5,0.22418
24229.5,0.22544
24228.5,0.22666
24227.5,0.22765
24226.5,0.22882
24225.5,0.23027
24224.5,0.23152
24223.5,0.23273
24222.5,0.23431
24221.5,0.23544
24220.5,0.23719
24219.5,0.23862
24218.5,0.2403
24217.5,0.24215
24216.5,0.24385
24215.5,0.24581
24214.5,0.24762
24213.5,0.2498
24212.5,0.25193
24211.5,0.25394
24210.5,0.25608
24209.5,0.25829
