Date,Density
-397.5,0
-396.5,0.0000013525
-395.5,0.0000013525
-394.5,0.0000013525
-393.5,0.000002705
-392.5,0.000004058
-391.5,0.000004058
-390.5,0.00000541
-389.5,0.000006763
-388.5,0.000008115
-387.5,0.00001082
-386.5,0.000012173
-385.5,0.000014878
-384.5,0.000017583
-383.5,0.000020288
-382.5,0.000022993
-381.5,0.00002705
-380.5,0.000031108
-379.5,0.00003652
-378.5,0.00004193
-377.5,0.00004869
-376.5,0.00005681
-375.5,0.00006357
-374.5,0.00007033
-373.5,0.00007574
-372.5,0.0000798
-371.5,0.00008386
-370.5,0.00008656
-369.5,0.00009062
-368.5,0.00009603
-367.5,0.00010144
-366.5,0.00010685
-365.5,0.00011496
-364.5,0.00012714
-363.5,0.00014472
-362.5,0.00016771
-361.5,0.00019882
-360.5,0.00023669
-359.5,0.00028673
-358.5,0.0003517
-357.5,0.0004382
-356.5,0.0005505
-355.5,0.0006898
-354.5,0.0008575
-353.5,0.0010604
-352.5,0.0013106
-351.5,0.0016122
-350.5,0.0019625
-349.5,0.0023574
-348.5,0.0028038
-347.5,0.003315
-346.5,0.003875
-345.5,0.004459
-344.5,0.005029
-343.5,0.005558
-342.5,0.006043
-341.5,0.006477
-340.5,0.006851
-339.5,0.00716
-338.5,0.00736
-337.5,0.007438
-336.5,0.007444
-335.5,0.007432
-334.5,0.007456
-333.5,0.007539
-332.5,0.007643
-331.5,0.007739
-330.5,0.007791
-329.5,0.007763
-328.5,0.007651
-327.5,0.007478
-326.5,0.00726
-325.5,0.00701
-324.5,0.00674
-323.5,0.006445
-322.5,0.006124
-321.5,0.005791
-320.5,0.005459
-319.5,0.005137
-318.5,0.004806
-317.5,0.004465
-316.5,0.004141
-315.5,0.003859
-314.5,0.003634
-313.5,0.003462
-312.5,0.003327
-311.5,0.003218
-310.5,0.0031243
-309.5,0.0030391
-308.5,0.0029688
-307.5,0.002916
-306.5,0.0028714
-305.5,0.0028281
-304.5,0.0027767
-303.5,0.0027226
-302.5,0.0026712
-301.5,0.0026171
-300.5,0.0025509
-299.5,0.0024697
-298.5,0.0023696
-297.5,0.0022601
-296.5,0.0021437
-295.5,0.0020234
-294.5,0.0019043
-293.5,0.0017826
-292.5,0.0016595
-291.5,0.0015405
-290.5,0.0014269
-289.5,0.0013241
-288.5,0.0012281
-287.5,0.0011361
-286.5,0.0010509
-285.5,0.0009765
-284.5,0.0009116
-283.5,0.0008589
-282.5,0.0008129
-281.5,0.0007723
-280.5,0.0007371
-279.5,0.0007033
-278.5,0.0006749
-277.5,0.0006506
-276.5,0.0006289
-275.5,0.0006059
-274.5,0.0005789
-273.5,0.0005491
-272.5,0.000518
-271.5,0.0004869
-270.5,0.0004585
-269.5,0.0004328
-268.5,0.0004085
-267.5,0.0003841
-266.5,0.0003625
-265.5,0.000349
-264.5,0.0003476
-263.5,0.0003598
-262.5,0.0003841
-261.5,0.0004179
-260.5,0.0004585
-259.5,0.0005031
-258.5,0.0005532
-257.5,0.0006167
-256.5,0.0006857
-255.5,0.0007547
-254.5,0.0008088
-253.5,0.000844
-252.5,0.0008643
-251.5,0.0008724
-250.5,0.000871
-249.5,0.000867
-248.5,0.0008548
-247.5,0.0008332
-246.5,0.0008075
-245.5,0.0007804
-244.5,0.0007561
-243.5,0.0007317
-242.5,0.0007047
-241.5,0.000679
-240.5,0.0006587
-239.5,0.0006452
-238.5,0.000633
-237.5,0.0006195
-236.5,0.0006127
-235.5,0.0006235
-234.5,0.0006587
-233.5,0.0007344
-232.5,0.0008521
-231.5,0.001009
-230.5,0.0011956
-229.5,0.0013917
-228.5,0.0016109
-227.5,0.0018773
-226.5,0.002164
-225.5,0.002421
-224.5,0.002586
-223.5,0.0026144
-222.5,0.0025319
-221.5,0.0023831
-220.5,0.00221
-219.5,0.0020477
-218.5,0.0018611
-217.5,0.0016406
-216.5,0.0014431
-215.5,0.0013065
-214.5,0.0012551
-213.5,0.0012917
-212.5,0.0013958
-211.5,0.0015608
-210.5,0.0017826
-209.5,0.0020477
-208.5,0.0023791
-207.5,0.0028159
-206.5,0.003369
-205.5,0.00404
-204.5,0.004818
-203.5,0.005747
-202.5,0.006884
-201.5,0.008221
-200.5,0.009717
-199.5,0.011296
-198.5,0.01295
-197.5,0.014718
-196.5,0.016549
-195.5,0.018374
-194.5,0.020098
-193.5,0.021654
-192.5,0.023029
-191.5,0.024207
-190.5,0.025185
-189.5,0.025966
-188.5,0.026394
-187.5,0.026438
-186.5,0.026301
-185.5,0.02619
-184.5,0.026309
-183.5,0.02667
-182.5,0.027138
-181.5,0.027706
-180.5,0.028365
-179.5,0.029105
-178.5,0.029884
